Date,Open,High,Low,Close,Adj Close,Volume
2025-03-21,1247.0,1284.5,1233.25,1276.45,1271.3724,3432782.0
2025-03-28,1286.4,1307.0,1269.0,1275.0,1269.9282,3651735.0
2025-04-04,1274.6,1277.8,1192.85,1204.7,1199.9079,2282892.0
2025-04-11,1125.0,1222.45,1115.55,1219.3,1214.4498,3508830.0
2025-04-17,1256.0,1279.45,1227.4,1274.55,1269.48,1473064.0
2025-04-25,1271.55,1325.25,1266.75,1300.05,1294.8786,3734845.0
2025-05-02,1332.35,1426.0,1320.15,1421.95,1416.2937,14806779.0
2025-05-09,1427.0,1439.75,1372.05,1377.75,1372.2695,1964695.0
2025-05-16,1400.0,1461.0,1400.0,1456.6,1450.8058,2923576.0
2025-05-23,1454.3,1454.3,1397.4,1426.45,1420.7758,2503629.0
2025-05-30,1430.4,1441.2,1408.95,1420.8,1415.1482,2431651.0
2025-06-06,1415.95,1454.5,1395.9,1443.55,1437.8077,3997916.0
2025-06-13,1454.55,1468.0,1414.0,1427.65,1421.971,2186373.0
2025-06-20,1425.05,1470.0,1425.0,1464.65,1458.8238,4896016.0
2025-06-27,1442.7,1521.7,1442.0,1516.05,1510.0194,4804887.0
2025-07-04,1516.05,1531.7,1496.4,1527.4,1521.3242,4223471.0
2025-07-11,1525.25,1551.0,1490.1,1494.85,1488.9037,3205140.0
2025-07-18,1494.45,1499.95,1469.0,1476.85,1470.9753,3588319.0
2025-07-25,1474.95,1474.95,1384.5,1392.1,1392.1,4260654.0
2025-08-01,1392.1,1423.25,1383.5,1393.6,1393.6,2828130.0
2025-08-08,1406.85,1416.0,1365.5,1367.95,1367.95,2845653.0
2025-08-14,1370.0,1401.25,1361.2,1373.75,1373.75,2353977.0
2025-08-22,1388.3,1431.8,1377.15,1409.3,1409.3,3758936.0
2025-08-29,1413.05,1419.0,1350.3,1357.05,1357.05,3756798.0
2025-09-05,1357.85,1384.65,1341.7,1374.3,1374.3,2299115.0
2025-09-12,1384.0,1396.1,1369.0,1394.8,1394.8,2354560.0
2025-09-19,1395.0,1421.8,1388.35,1407.65,1407.65,2748980.0
2025-09-26,1402.7,1410.45,1365.55,1377.75,1377.75,3595118.0
2025-10-03,1380.1,1388.4,1357.2,1363.45,1363.45,3828808.0
2025-10-10,1362.2,1395.75,1358.6,1381.95,1381.95,3605918.0
2025-10-17,1376.0,1423.45,1367.85,1416.95,1416.95,3887283.0
2025-10-24,1440.0,1482.5,1435.0,1451.45,1451.45,3461712.0
2025-10-31,1461.25,1508.0,1458.7,1486.5,1486.5,3525813.0
2025-11-07,1486.0,1501.95,1470.3,1478.25,1478.25,2371094.0
2025-11-14,1473.15,1524.0,1473.15,1518.85,1518.85,2896809.0
2025-11-21,1518.85,1557.95,1510.05,1545.95,1545.95,3047748.0
2025-11-28,1548.1,1580.9,1525.0,1566.85,1566.85,2544012.0
2025-12-05,1575.0,1579.95,1518.0,1540.9,1540.9,2433720.0
2025-12-12,1533.05,1559.5,1520.35,1556.0,1556.0,4920412.0
2025-12-19,1555.95,1573.9,1536.0,1565.1,1565.1,1804712.0
2025-12-26,1568.2,1580.0,1553.85,1559.0,1559.0,1672550.0
2026-01-02,1558.95,1594.45,1538.0,1592.45,1592.45,2090243.0
2026-01-09,1592.5,1611.2,1465.0,1475.3,1475.3,4559056.0
2026-01-16,1475.3,1486.0,1439.85,1457.6,1457.6,2137494.0
2026-01-23,1455.05,1455.05,1373.0,1385.95,1385.95,2173446.0
2026-01-30,1385.85,1409.7,1368.5,1395.9,1395.9,6570209.0
2026-02-06,1341.0,1489.0,1336.0,1450.85,1450.85,3952631.0
2026-02-13,1459.9,1473.2,1416.2,1419.9,1419.9,3454204.0
2026-02-20,1418.25,1444.05,1401.0,1420.05,1420.05,2540198.0
2026-02-27,1420.25,1440.0,1388.0,1394.3,1394.3,4963100.0
2026-03-06,1351.45,1424.1,1307.0,1405.2,1405.2,5447740.0
2026-03-13,1372.05,1433.65,1369.0,1380.6,1380.6,6898328.0
2026-03-20,1381.9,1430.0,1363.4,1414.55,1414.55,4777509.0
2026-03-27,1400.0,1430.0,1345.0,1348.25,1348.25,4396252.0
